fold,test_participant,accuracy,precision,recall
1,AP01,0.8748627881448957,0.9176761303947882,0.8748627881448957
2,AP02,0.8321085358959864,0.8638481373820126,0.8321085358959864
3,AP03,0.8449292452830188,0.9781194234239641,0.8449292452830188
4,AP04,0.900103519668737,0.8398627986185851,0.900103519668737
5,AP05,0.7956989247311828,0.6449829931972789,0.7956989247311828
